Host_Name,Listings_Count,Total_Reviews_Per_Month
Fionnuala,3,15.61000013
Marian,1,15.59000027
Patrick,4,15.52999973
Daniel,1,15.48999994
Rebecca,2,15.45999956
Brid,1,15.45000008
Debora & Bruno,2,15.43999958
Daragh,3,15.42000008
Shane,1,15.42000002
Temple Bar Inn,6,15.41999996
Adeline,2,15.4199996
Toni,2,15.35999966
Anne-Marie,1,15.17000008
Diane,2,15.15000021
Ottilia,2,15.14999962
Bernie,3,15.12000036
Anthony,1,15.07999995
Dónal,1,15.0500001
Michael And Eoin,3,15.01999998
Colin,1,15.00999987
Lauren,1,14.99000013
Derek,1,14.95999992
Clodagh,1,14.91000026
Aaron,5,14.72000027
Dee,1,14.70999994
Gillian,1,14.67000012
Stephanie G,2,14.61999989
Elaine,7,14.61000013
Veronica,1,14.60000008
The Lane,4,14.5999999
John,12,14.54000007
Gerry,1,14.53000009
Theresa,1,14.52000022
Tracy,1,14.50999999
Eva,1,14.50000036
Julie,1,14.44999978
Rogerio,3,14.40999985
Martina,2,14.35000011
Ciara,2,14.31000018
Miriam,1,14.18999986
Carol,1,14.17000007
Jean,1,14.13000023
Noel,4,14.0999999
Andrew,2,14.03999996
Kevin,6,14.02999973
Brendan,2,14.00000018
Lauren,5,14
Ocean Property Management,26,13.99000005
Jonothan,18,13.97
Elena,12,13.93999994
Dermot,2,13.93000031
Frances,1,13.90000021
Jonathan,1,13.88999996
Jerry,2,13.88999987
Ann,2,13.86000019
Siobhan,2,13.81000019
Clare,1,13.78000033
Eileen Mary,2,13.76000023
Mary,4,13.75000009
Francis,4,13.6900003
Hilary,1,13.69000006
Tomas,2,13.67000037
Betty,1,13.67000008
Gerry,4,13.65999985
Lucy,1,13.63999981
Charles,1,13.62999988
Des,1,13.59000015
Jennie,3,13.56000042
Diana,1,13.54999977
William,1,13.51000023
Suzanne,3,13.46000028
Junie,2,13.39999962
Mags,3,13.30999994
Josephine,2,13.30000019
Carmel,2,13.29999998
Eamonn,1,13.27999988
Colm,3,13.24000025
Eibhlin,2,13.18999997
Marta,1,13.1600003
Deborah,1,13.03999972
Susan,2,13.01999989
Frances,3,12.99000026
Francis,1,12.81000006
Sheila,1,12.7999997
Michal Marek,1,12.76000023
Glen,3,12.75999975
Karina,1,12.75000012
GuestReady,1,12.73000014
James & Co,10,12.71000004
Hilary,4,12.58000028
Daniela,1,12.55000019
Anya,3,12.53999996
Gary,1,12.51000011
Paul,8,12.48999989
James,11,12.45000005
Bernie,1,12.42000028
Orla,2,12.34000015
Colm,1,12.30000013
Aileen,1,12.29999995
Elizabeth,1,12.27999997
Peter,3,12.26000016
Daniel,10,12.26000005
Willie,1,12.2499997
Qurat Ul Ain,4,12.18000031
Andrea,1,12.1500001
Patrick,2,12.14999995
Kathleen,2,12.11000001
Shane,2,12.09999985
Karen,2,12.04999989
Yvonne,1,12.03999984
Frederic,6,12
Sharon,2,11.98000008
Tony,1,11.93999964
Cian,1,11.92999983
Pete And Anna,3,11.86000013
Rita,1,11.80999994
Deirdre And Niall,7,11.80999976
Mark,16,11.80000022
Sinead,2,11.79999979
Caroline,2,11.79999974
Jacqui,3,11.77999973
John,5,11.73999989
Christian,4,11.66000009
Stephane,2,11.6500001
Nomin,1,11.60999966
Ann,4,11.57999992
Sylvia,1,11.54000017
William,2,11.5
Gerry,61,11.49000003
Robert,3,11.46999997
Brohoon & Associates,5,11.43999958
James,3,11.43000004
Željko,2,11.39999962
Gerard,4,11.36000001
Debbie,1,11.35999994
Ollie,2,11.3499999
Sam,1,11.33999991
June,1,11.32000029
Jack,2,11.32000023
Heather,1,11.31999981
Noreen,1,11.27999979
Christopher,3,11.25
Nicole,1,11.24999974
Brian,4,11.21999979
Janet,1,11.21000004
Zahra,3,11.20999956
Reese Robert,1,11.19999981
Kristiane,1,11.19999981
Benjamin,1,11.13000011
Dara,1,11.1099999
Samantha,1,11.08999979
Roseanne,4,11.08000031
Joanne,4,11.02999992
Maura,1,11.02999984
Charlie,1,11.02000004
Edward,8,10.99000007
Peter,9,10.99000001
Drury,8,10.93000009
Hannah,1,10.92999995
Beniamin,1,10.90999985
Paul And Áine,1,10.89000034
Cormac,2,10.88999987
Alan,2,10.83000028
Barbara,1,10.80999999
Seda,2,10.7900002
Angel,2,10.78999996
Orla,1,10.78
Charlie,2,10.74999976
Sanchia,1,10.71000004
Kenneth,2,10.71000004
Helen,2,10.70999998
Nora,1,10.70000008
Trident Holiday Homes,156,10.6600001
Eugene,1,10.66000009
Cat,1,10.60000014
Denis,1,10.59000003
Meagan,2,10.58999968
Claudia Nicole,4,10.58000016
Josie,1,10.57000017
Adrienne,1,10.51999998
Edward,1,10.50000012
Jaqueline,4,10.49999976
Roger,1,10.49999976
Michael Patrick,1,10.46000004
Audrey,1,10.45999995
Darren,2,10.3499999
Paddy,2,10.3499999
Carlos Adelino,2,10.32999992
Hugh,1,10.2900002
Luke,1,10.28999972
Dwaine,1,10.26000023
Apache Hostel Temple Bar,2,10.25999975
John Paul,2,10.25
Lorna,1,10.23999983
Marlin Hotel Stephens Green,1,10.22999954
Michael,4,10.21000028
Noel,1,10.19999981
Leo,1,10.18000004
Catalina,2,10.17000008
Petra,1,10.13999957
Ronnie,2,10.13000011
The Dawson,7,10.13000003
Andrew,4,10.08000004
Nicholas,2,10.07999992
Ruaidhri,2,10.07000017
Enzo,2,10.05999994
Karina,4,10.0399996
Matthew,6,10.03000009
Mark & Sean,3,10.01999998
Amaya,4,10.01000023
Traighenna Bay,2,10.01000023
Chika,2,10
Manoj,6,10
Tristan,1,9.979999542
Liam And Fiona,8,9.969999909
Mathew,3,9.960000105
Francois,4,9.939999789
Paul & Joan,2,9.910000086
Julie,3,9.910000086
Rocio,4,9.890000105
Patrick & Jessica,3,9.870000124
Chris,1,9.840000033
Sally,1,9.839999914
Dolores,1,9.820000008
Bryan,1,9.800000191
Irena,1,9.800000191
Emma,5,9.799999952
Annmarie,1,9.75
Hendrick Smithfield,3,9.740000248
Eugene,8,9.73999998
Siddik,2,9.71999979
Shaun,1,9.700000167
Helen,3,9.700000048
Lindsay,1,9.699999809
Patrick,3,9.669999957
Michelle,4,9.649999976
Leeona,3,9.649999857
Nikki & Niall,7,9.639999986
Daragh,1,9.610000134
Bernadette Mary,1,9.569999695
Glenn,1,9.56000042
Damien,6,9.5
Marcella,4,9.450000286
Judith,1,9.450000167
Tom,2,9.450000048
Owen,1,9.419999987
Pamela,1,9.400000036
Zac,2,9.399999619
Eve,1,9.389999866
Caoimhe,1,9.360000014
Diego,2,9.329999924
Annette,1,9.300000012
Kate,1,9.299999937
Sophia,4,9.190000296
Julia,7,9.160000145
Cheng,4,9.159999967
Rose,1,9.060000002
Sharon,4,9.000000119
Poonam,1,9
Anita,1,8.980000049
Chao,4,8.980000019
Anne,4,8.96999979
Alessia,2,8.9599998
Jackie,1,8.950000003
Michelle,10,8.940000057
Treacy,2,8.930000067
Orla,3,8.919999599
Ed,5,8.909999728
Barnaby,1,8.890000343
Carmel,3,8.8800001
Altantuul,2,8.879999876
Danielle,1,8.869999915
Jacqueline,1,8.860000193
Ernie,2,8.840000153
Sonder (Dublin),8,8.830000147
Phyllis And Martin,1,8.819999695
Sheila,3,8.800000191
Johnny,1,8.780000091
Vanessa,1,8.750000179
Leah,1,8.740000129
Kevin,13,8.74000001
Dolores,4,8.729999773
Hua Francesco,1,8.729999542
Tyomich,5,8.670000076
Kelly,1,8.669999957
Meenaleck Glamping,6,8.629999936
Ryan,1,8.629999876
K2,7,8.610000253
Ciaran & Anna,4,8.610000253
Leo,2,8.560000181
Melanie,1,8.510000229
Colin,8,8.51000011
Emer,1,8.509999976
Niall,5,8.490000129
Maura,2,8.489999756
Garrett,2,8.449999809
Mairead,2,8.439999938
Eddie,1,8.409999788
Matt,1,8.380000234
Galway,4,8.380000055
Andrew,3,8.369999886
Dympna,3,8.369999886
Jade,2,8.360000134
Sonia,1,8.350000307
Mustafa,2,8.329999924
Thomas And Rita,3,8.310000062
Daniel,7,8.309999973
Robert,2,8.309999943
Lisa & Wayne,2,8.309999943
Roberto,1,8.279999733
Conor,3,8.25999999
Elena,1,8.250000179
Daragh,2,8.250000119
David Eduardo,3,8.240000248
Steven,2,8.23999989
Amy,1,8.209999934
Cathy,2,8.209999889
Padraig Francis,7,8.199999839
Sue,1,8.149999976
Ramy,2,8.140000105
Doug,5,8.129999936
Marie,2,8.119999945
Benjamin,2,8.110000134
Zoë,2,8.109999895
Augusto,2,8.059999943
Micheal,3,8.039999962
Katherine,1,8.019999981
Marie Louise,1,8.010000229
Bald,1,8.010000229
László,1,8
Deborah Suzane,5,8
Declan,3,8
Mark,5,8
David,9,7.969999909
Jason,3,7.96999979
Florentina,9,7.910000026
Kleyton,2,7.900000095
Dishant,3,7.889999866
Eileen,3,7.879999876
Jason,2,7.870000124
Marie,6,7.850000083
Melzi,2,7.830000162
Des,5,7.810000181
Jeanne,1,7.809999883
Stephen,2,7.790000094
Eithne,1,7.790000021
James And Grace,1,7.789999962
Aoife,3,7.75999999
Brenda,1,7.759999931
Brid,3,7.730000019
Martha,1,7.710000038
Patrick,5,7.699999809
Ionela,1,7.690000057
John,7,7.680000007
Michael,10,7.67999988
Neil,1,7.639999866
Carol,3,7.630000114
Martina Lorraine,1,7.619999886
Noel,2,7.610000134
Penny,1,7.610000134
Dan,1,7.600000083
Aline,2,7.590000153
Ursula,2,7.590000033
Shauna,1,7.589999922
Dorothy,1,7.589999855
Judith,3,7.569999933
Maurine,1,7.559999943
Charlotte,2,7.549999952
Marianne,1,7.549999952
Una,3,7.539999962
Ann Marie,4,7.539999962
Joan,2,7.53000021
Marjorie,1,7.519999981
Karl,4,7.519999981
Karyn,1,7.510000229
Rodrigo,2,7.5
Yilan,1,7.5
Attila And Andrea,1,7.5
Angélica,1,7.49000001
Eimear,1,7.449999928
Marie And Jim,3,7.410000086
Donna,1,7.400000155
Fionn,1,7.400000095
Nathan,1,7.389999866
Wendy,1,7.389999866
Diane,1,7.380000114
Edel,2,7.379999876
Anna,16,7.369999975
Naomi,14,7.359999985
Anderson,1,7.329999924
Ginny,1,7.320000172
Antoinette,1,7.310000062
Leevin,1,7.300000191
Marie,5,7.300000131
Selena,2,7.2900002
Mairtín,2,7.289999962
Ross,1,7.280000061
Cj,1,7.269999981
J J,2,7.25999999
Marian,2,7.249999881
Clive,1,7.24000001
Ronnie,3,7.23999989
Fernando,1,7.239999771
Filippo,1,7.220000029
Adedamola Michael,1,7.210000038
Ben,1,7.209999979
Stephanie,2,7.189999908
Cleary,3,7.180000067
Edel,1,7.160000056
Daniele,1,7.159999847
Julia,1,7.150000274
Christine,1,7.1500002
Stefano,3,7.150000095
Betty,2,7.150000095
Anna,2,7.139999956
Oona,1,7.130000114
Lynda,1,7.120000243
Elaine,14,7.100000024
Carla,1,7.090000153
Sheila,8,7.079999983
Selina,1,7.079999924
Ian,68,7.070000015
Dublin Citi Hotel,3,7.05000025
Allaye,3,7.050000191
Lanelodge,3,7.039999962
Johnny David,1,7.039999962
Sarah,2,7.03999982
Philip,5,7.020000041
Jefferson Carvalho,1,7.019999981
Celine,1,7.009999797
Rodrigo,1,6.99000001
Valerie,1,6.98999989
B,2,6.950000048
Marion,1,6.909999907
Crona,1,6.909999847
Everton,1,6.909999847
Des,2,6.909999847
Lenka,2,6.900000095
Lorraine,2,6.900000006
Ger,2,6.889999866
Sonja,4,6.840000004
Veronika,1,6.820000172
Brian,3,6.780000314
Omar,3,6.779999971
David,3,6.77000013
Jamie,1,6.770000041
Jim,3,6.760000229
Clark,5,6.760000169
Serena,1,6.75999999
Tom And Mary,2,6.75
Nick,2,6.74000001
Anita,2,6.730000019
Sumer,1,6.730000019
Barry,2,6.720000088
Eileen,2,6.679999948
Kate,2,6.669999838
Janice,2,6.650000095
Umar,1,6.639999866
Kathryn,1,6.61999999
Eleanor,1,6.619999886
Sorcha,1,6.609999955
Paul,3,6.580000043
Clare,5,6.579999804
Olivia,4,6.569999993
Adrian,1,6.560000002
Renata,3,6.559999943
Catriona,1,6.550000072
Benedict,2,6.549999952
Aille River Tourist Hostel,10,6.549999923
Terence,1,6.519999981
Myles,1,6.519999981
Rob,1,6.519999921
Diarmuid,1,6.50999999
Chris,2,6.5
Geraldine,2,6.499999985
Patrick James,1,6.480000019
Ann,5,6.470000029
Ken,1,6.460000038
Chloe,2,6.4599998
Jill,2,6.440000057
Craig,1,6.439999819
Gabriel,1,6.430000186
Irene,3,6.420000076
Trudi,2,6.419999838
Gavin & Carol,1,6.409999847
Milestone,1,6.409999847
Maureen,1,6.370000094
Glynn,2,6.360000134
Dale,1,6.359999895
Elliot,2,6.330000162
Caroline,8,6.320000082
Alex,3,6.319999933
Mark,2,6.309999943
Kinlay Hostel,11,6.309999943
Trevor,1,6.309999883
Zara-Dawn,1,6.300000191
Michele,1,6.269999862
Robin,1,6.269999743
Tracey,1,6.25999999
Tim,3,6.250000048
Luna Narda,2,6.21999979
Marjo,3,6.200000167
Aine Marie,5,6.189999878
Marie,9,6.180000022
Alex,1,6.180000007
Asile,3,6.179999828
Damien And Sara,2,6.160000086
Joy Esi,1,6.150000095
Paola,1,6.149999976
Gareth,2,6.149999857
Laiza,1,6.119999886
Majella,1,6.119999886
Eóin,2,6.110000134
Nicola,2,6.100000143
Jocelyn,1,6.090000153
Claudia And Dany,2,6.079999924
Manu,2,6.070000172
Jason,1,6.069999963
Maria,3,6.069999933
Jemima,1,6.050000191
Gerry,25,6.049999883
Lydia,1,6.0400002
Enda,2,6.040000081
Robyn,1,6.039999962
Galway Bay Sea View,7,6.039999902
Eileen,4,6.00999999
Bernadine Frances,1,6
Madson Muller,1,6
Valeriu,3,6
Tricia,2,5.989999771
Mary,5,5.960000098
Hannah,2,5.950000048
Annamarie,1,5.949999809
Lifang,1,5.940000057
Eyad,1,5.940000057
Juni,4,5.939999938
Fatih,2,5.930000067
José Felipe,1,5.929999828
Alexnder,1,5.920000076
Terry,1,5.919999957
Tina,5,5.910000086
Shiam,1,5.909999847
Colette,3,5.900000095
Mallika,1,5.900000095
Dee,2,5.890000105
Christella,1,5.880000114
Don,1,5.840000153
Adam Ross,1,5.829999924
Gem,3,5.820000172
Evelyn,1,5.820000052
Mareesa And Evan,2,5.819999807
Amanda,1,5.810000114
Blanaid,1,5.809999943
Min,1,5.789999962
Peadar,3,5.789999917
Valerie,3,5.779999971
Carmela,1,5.760000229
Sheena,1,5.759999871
Tea,3,5.73999995
Józef,1,5.739999771
Irene,5,5.710000038
Alexia,1,5.710000038
Melissa,2,5.709999919
Mildred,26,5.700000018
Teresa,4,5.670000196
GalwaySuites,1,5.659999847
Krzysztof,3,5.649999857
Inishowen House,3,5.640000105
Tadeu,2,5.639999866
Riaan,2,5.630000055
Micheal,1,5.629999936
Oisin,1,5.619999923
Roshan,2,5.610000134
Ruairi,1,5.610000014
Odera,1,5.590000153
Jacinta,2,5.590000153
Dèbora,1,5.579999924
Maryrose,1,5.579999924
Erica,1,5.570000172
Catia Marisa,1,5.570000172
Eugene,2,5.559999943
Vagner,1,5.550000191
Marcela,1,5.539999962
Dave,1,5.53000021
Wojciech & Robert,1,5.510000229
Seosamh,2,5.50999999
Doolin Court,5,5.48999992
Huseyin,1,5.480000019
Andres,1,5.480000019
Rita Marie,4,5.4799999
Grainne,2,5.470000066
Roddy,1,5.46999979
Jose&Vadym,3,5.450000226
Roma,1,5.449999809
Shuk Yuen,1,5.440000057
Raymond,2,5.429999948
Ankit,2,5.420000076
Dermot,5,5.420000017
Ita,1,5.419999987
Sandra,6,5.409999847
Bernadette,2,5.389999926
Ursula & Ruaidhri (Rory),1,5.360000134
Lucy And Paddy,2,5.350000143
Dylan,1,5.320000097
卓霖,4,5.309999943
Sarah,5,5.300000131
Geraldine,4,5.300000131
Maire,1,5.299999982
Ann Maria,1,5.289999962
Celia,1,5.28000021
Sukh,2,5.28000021
Waterloo,9,5.28000021
Geraldine,6,5.269999921
Emer & Paul,1,5.260000229
Albert,1,5.260000229
Kathryn,3,5.26000005
A,1,5.239999771
Bob,1,5.239999771
Alan & Linda,1,5.230000019
Ursula,1,5.2299999
Andy,5,5.210000038
Maria,2,5.200000133
Fiona,2,5.199999984
Damir,2,5.190000117
Tom,3,5.179999873
Yash,1,5.179999828
Grazielle,1,5.179999828
Lou,2,5.179999828
Anthony,6,5.169999987
Niamh & Family,1,5.159999847
Martina,3,5.150000095
Anne Julia Adrienne,1,5.139999866
Denise & Paul,1,5.130000114
Leevin,11,5.120000064
Laurence,1,5.090000033
Gareth,1,5.090000033
Patricia,11,5.090000004
Siubhan,12,5.089999959
Annie,1,5.080000117
Matthew,5,5.060000181
Generator,7,5.059999973
Oscar,1,5.059999943
Zaya And Bama,2,5.050000072
Sussan,1,5.039999962
Rekha,1,5.039999962
V,2,5.029999971
Tina,1,5.029999912
Kieran,11,5.019999981
Jane Bernadette,1,5
Monika,1,5
Zanna,1,5
Wes,1,5
Usher,6,5
Tabitha,1,5
Dario,1,5
Mohammed Kholil,1,5
Rosaleen And Paul,1,4.980000019
Pam,3,4.9799999
Alice,1,4.969999902
Josephine,1,4.960000068
Annemarie,2,4.960000038
Olive,5,4.959999919
Simone & Richard,3,4.959999859
Aidan,1,4.950000048
Rosemary,1,4.949999869
Domhnall,3,4.940000057
Renato,1,4.920000076
Sonya Marie,1,4.920000076
Jo,1,4.909999847
Maolíosa,1,4.909999847
Emelyn,1,4.889999866
Alexander,2,4.889999866
Emilie,1,4.880000114
Leandro Stefano,1,4.860000134
Cillian,1,4.850000024
Mike,4,4.849999964
Karl,1,4.849999934
Nadia,3,4.840000153
Naoise,1,4.840000063
Henrietta Suites,8,4.830000073
Mike,1,4.830000013
Phil,3,4.829999924
Alejandro,1,4.829999924
Hope,1,4.820000172
Libby,1,4.819999933
Joan & Leo,2,4.819999829
Gaspar,1,4.809999943
Kelly & Robb,3,4.800000072
Marie,4,4.799999975
Birgit,1,4.789999962
Rachael,1,4.78000021
Jamie,3,4.769999921
Saajan,1,4.760000229
Emma,3,4.75999999
Saylor,1,4.739999771
Phillip,1,4.739999771
Finola,1,4.719999909
Rita-Frank,1,4.71999979
Gail,1,4.71999979
Yassine,1,4.710000038
Michelle & Daryl,1,4.710000038
Cora,1,4.710000038
Breege,1,4.700000167
Mal,1,4.650000095
Rachel & Justin,3,4.650000095
Ben,4,4.639999986
Bobby,1,4.629999995
Olivia,1,4.629999951
Majka Teresa,1,4.619999886
Hanne,3,4.619999886
Vitor,1,4.609999895
Jenny + Matt,5,4.600000024
Karen,3,4.599999964
Eilish,1,4.599999964
Tara,4,4.579999983
Dardo,1,4.579999924
Steve,1,4.570000172
Rosetta,6,4.560000092
Marian,5,4.560000032
Bríd,2,4.559999943
Sharlene,1,4.550000191
Marcia,1,4.550000191
Olga,1,4.549999952
Siobhan,3,4.540000021
Yu,2,4.539999962
Bruno,4,4.539999932
Dan & Rosie,1,4.53000021
Mona,1,4.53000021
Cait,1,4.53000021
Eugene,3,4.50999999
Mary Jo,1,4.500000119
Marcelina,1,4.5
Marnie,2,4.49000001
Tamara,1,4.480000019
Jake,2,4.480000019
Raymond James,1,4.46999979
Sergio,1,4.46999979
Becky,1,4.460000038
Eamon,1,4.460000038
Elisabete,1,4.440000057
Emese,1,4.440000057
Philomena,1,4.440000027
Katie,2,4.439999998
Chloe,6,4.430000126
Gizem,1,4.429999948
Aileen & Neil,1,4.429999828
Maria,4,4.420000002
Everina,2,4.410000086
Fidelma,1,4.409999937
Luis,1,4.379999876
Martin,4,4.350000024
Clo,1,4.349999905
Bróna,1,4.349999905
Nessa,1,4.349999905
Derek,2,4.340000093
Natalie,1,4.340000033
Sykes Holiday Cottages,273,4.340000033
Claire,2,4.340000004
Laoise,1,4.339999914
Daire,3,4.330000043
Máire,2,4.329999924
Fiontán,1,4.329999924
Deborah And John,1,4.329999924
Justin,4,4.320000052
Neasa,2,4.320000052
Megan Sally,1,4.309999943
Lucy Blu,2,4.309999943
Freya,1,4.300000191
Cristiana,1,4.2900002
Ariana,2,4.289999962
Bamidele,1,4.289999962
Maeve,2,4.289999962
Movania,1,4.28000021
Yvonne,4,4.280000031
Carole,1,4.279999912
Adeline,1,4.269999981
Georgina,3,4.260000229
Ashling,2,4.25999999
Sharan,1,4.25
Francis,2,4.25
Gertie,1,4.24000001
