id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8097974,Bright Studio in a Handsome Georgian Building,2110301,Karin,Dublin City Council,North Inner City LEA-7,53.356247,-6.25852,Entire home/apt,147,2,481,2024-08-28,4.33,4,136,63
8101782,Across the road from Temple Bar II,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.34637,-6.26381,Entire home/apt,194,4,65,2024-08-25,0.84,97,233,34
8104897,Temple Bar 208,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.34692,-6.26435,Entire home/apt,189,4,160,2024-08-01,1.68,97,249,15
8131250,Apartment in Dublin 01,505329584,Leevin,Dublin City Council,North Inner City LEA-7,53.35445217,-6.26012541,Entire home/apt,98,7,3,2024-08-08,1.03,11,67,3
8139754,Double Bedroom City Center - Next to Croke Park,14958547,Giancarlo,Dublin City Council,North Inner City LEA-7,53.36047,-6.25907,Private room,96,1,12,2024-09-02,3.05,1,54,12
8163592,Dublin City Delight : central hub to the city,37345570,Kieran,Dublin City Council,North Inner City LEA-7,53.35013,-6.25552,Entire home/apt,296,90,47,2024-07-22,0.65,11,90,10
8168017,1 bedroom refurbished apartment,121470380,Kevin,Dublin City Council,North Inner City LEA-7,53.35264822,-6.258553527,Entire home/apt,100,14,5,2024-08-30,0.41,1,316,4
8189317,Spire Attic Apartment No Kitchen,102883098,Jiang,Dublin City Council,North Inner City LEA-7,53.3502871,-6.25804,Entire home/apt,281,2,5,2024-09-08,1.47,3,144,5
8196103,Boutique Cosy Centre Apartment,1847391,Diane,Dublin City Council,North Inner City LEA-7,53.3532,-6.25648,Entire home/apt,162,2,188,2021-05-18,1.24,1,163,0
8199364,Private Room in Dublin - Bunk Bed - Shared Toilet,225732511,Gardiner,Dublin City Council,North Inner City LEA-7,53.35713361,-6.260499958,Hotel room,163,1,64,2024-08-31,0.99,12,326,12
8224514,Handy single BR near the Centre,530223520,Ace York,Dublin City Council,North Inner City LEA-7,53.35976,-6.24645,Private room,87,2,1,2024-01-07,0.12,9,73,1
8236934,City Centre 1 bedroom MC,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.35194145,-6.257622319,Entire home/apt,186,4,30,2024-06-24,1.79,97,254,22
8238851,"Central Lodge - chic, large bright newly fitted",62510358,Nigel,Dublin City Council,North Inner City LEA-7,53.35358,-6.25717,Entire home/apt,418,2,64,2024-07-11,0.66,2,210,12
8247410,City Centre Apartment - Walk Everywhere,474434522,Richard,Dublin City Council,North Inner City LEA-7,53.35484086,-6.260523494,Entire home/apt,457,3,28,2024-08-25,1.18,1,238,11
8261119,City Gem/Stylish 1 Bed Apartment,357513352,Bob,Dublin City Council,North Inner City LEA-7,53.35555424,-6.260995623,Entire home/apt,237,1,6,2024-07-01,1.18,3,341,6
8265207,Double Room,305466304,Hendrick Smithfield,Dublin City Council,North Inner City LEA-7,53.34851,-6.28006,Private room,222,1,105,2024-08-22,1.79,3,285,8
8265270,Dublin City Centre:  City Centre Comfort,88500418,Alan,Dublin City Council,North Inner City LEA-7,53.35094,-6.25326,Entire home/apt,160,4,48,2024-09-06,0.61,2,248,1
8266005,Luxurious Edwardian single room,8700302,Fionnuala,Dublin City Council,North Inner City LEA-7,53.36116,-6.25523,Private room,95,1,118,2024-09-07,4.82,3,337,53
8280642,High ceiling open-plan in centre,13834902,Cormac,Dublin City Council,North Inner City LEA-7,53.35014557,-6.276839319,Entire home/apt,325,5,22,2024-08-20,1.66,1,119,17
8280667,Home from Home,2781611,Sasha,Dublin City Council,North Inner City LEA-7,53.35978,-6.25343,Entire home/apt,235,2,181,2024-08-26,2.33,3,331,26
